Language,Page@num. words,Page@num. types,Page@type token ratio,Page@num. punct.,Page@punct. ratio,Page@num. function words,Page@function words ratio,Page@num. sentences,Page@word length,Page@mean Zipf freq.,Page@median Zipf freq.,Page@std Zipf freq.,Page@num. PRON,Page@PRON ratio,Page@num. NOUN,Page@NOUN ratio,Page@num. VERB,Page@VERB ratio,lang_code
English,64,47,76.66,9,17.75,33,51.99,2,4.830273798080301,5.729791876221888,5.736750000000002,1.3906685947972093,4,6.4,15,25.02,7,11.25,en
German,56,46,83.21,9,20.7,30,53.32,3,5.967729592513772,5.371425284084477,5.560754716981132,1.6612777652727653,4,6.71,13,25.92,5,9.61,de
Swiss German,57,46,82.45,12,25.21,13,22.48,7,5.338926672453004,0.0,0.0,0.0,2,4.36,11,20.63,4,7.04,zd
Dutch,63,46,76.21,8,15.34,34,53.64,3,5.256080203442421,5.669351277439609,5.893932038834951,1.6602984595265835,4,7.06,14,23.25,7,10.89,nl
Danish,59,47,81.94,9,19.53,29,49.21,3,5.298080643378486,5.260701524483998,5.664049999999999,2.061100133399791,4,6.71,14,26.16,7,11.43,da
Swedish,58,47,83.29,7,15.78,29,48.91,3,5.36639700547888,5.316656866813309,5.5139499999999995,1.733723529426591,5,8.69,15,28.7,6,10.57,sv
Norwegian,58,46,82.78,8,17.49,29,49.52,3,5.252776208323233,0.0,0.0,0.0,5,7.91,14,26.16,6,11.24,no
Basque,40,36,91.05,8,22.35,7,18.5,2,6.80266231532116,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,eu
Catalan,69,49,74.69,12,20.94,34,49.65,2,4.646330190832822,5.7912013305212335,5.886800000000001,1.555057361869552,3,5.21,16,23.29,6,9.63,ca
Spanish,69,49,73.73,8,14.5,38,55.09,2,4.991435699608344,5.736435178687697,5.73735,1.5844763678669787,3,4.51,16,23.58,6,9.02,es
Portuguese,65,49,78.49,9,17.23,34,51.76,3,4.925111661029618,5.644354311739976,5.673039215686275,1.5173252277635534,2,3.84,16,26.07,7,11.9,pt
Italian,61,49,82.47,10,19.16,32,51.02,3,5.27582181798052,5.492935851453848,5.469705882352943,1.4570639887807384,2,3.82,15,25.94,6,10.51,it
Romansh,67,53,81.6,11,19.12,0,0.0,2,5.09163121483031,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,rm
Romanian,63,50,81.81,10,19.21,30,46.48,3,5.273539094123873,5.289692170078798,5.3450000000000015,1.7727098500170997,4,6.26,18,29.62,5,7.72,ro
Galician,66,51,80.6,9,15.55,27,41.52,2,5.034831555048321,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,gl
Slovenian,55,47,86.05,9,19.1,22,38.04,2,5.357375677107734,4.973006730525109,5.0446039603960395,1.880682414187419,2,3.86,15,29.72,5,10.25,sl
Croatian,54,46,87.08,8,18.0,18,33.27,2,5.526938528692267,4.743295896072727,4.870643564356436,2.0430388444130836,1,3.23,16,31.64,5,9.81,hr
Serbian,56,47,86.77,8,18.14,18,31.81,2,5.340277370227779,4.855854490433606,4.9591,1.964094212356986,0,0.0,0,0.0,0,0.0,sr
Macedonian,60,47,81.2,9,17.33,25,40.63,4,5.325439384176999,5.084620302063462,4.953514851485148,1.738299710919809,4,6.66,16,26.72,6,10.04,mk
Polish,54,47,88.8,9,20.01,18,33.84,2,6.061990002160732,4.883067663278655,4.85315,1.6369274111111387,2,4.78,17,33.91,5,10.88,pl
Czech,53,46,89.39,9,18.23,17,32.18,2,5.462048732540382,4.873610388868887,4.85345,1.543908910768362,0,0.0,0,0.0,0,0.0,cs
Ukrainian,52,47,90.2,11,25.83,19,36.34,2,5.721209452934468,4.862498716522591,4.940499999999999,1.5879948817795175,2,4.08,17,34.87,6,11.69,uk
Russian,52,45,88.79,11,24.12,20,37.29,2,6.047099150462642,4.9382833216443975,4.882524752475248,1.4962306736275042,3,5.68,16,32.57,7,13.2,ru
Lithuanian,49,44,91.43,10,24.06,13,26.59,3,6.341865423791557,4.510128894666349,4.7499,1.883617470259251,2,5.13,17,36.48,8,18.11,lt
Latvian,50,44,89.06,10,24.09,10,20.17,3,5.969346635232264,4.687583243002169,4.88695,1.934382066358977,0,0.0,0,0.0,0,0.0,lv
Estonian,46,41,91.34,9,22.47,7,15.66,3,6.625598078957105,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,et
Finnish,42,38,91.83,8,22.01,14,32.3,3,7.609638395700328,4.433468419491536,4.48343137254902,1.7368260858296685,4,9.15,15,37.59,6,15.14,fi
Albanian,66,49,76.25,8,15.77,17,26.35,2,4.858458141326883,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,sq
Greek,65,52,81.78,9,16.15,33,49.69,3,5.4837488531568575,5.258369191919312,5.390100000000001,1.900537314039908,4,6.24,16,25.29,7,10.47,el
Turkish,47,41,90.6,8,21.97,10,20.94,3,6.546395787438359,4.41147941039718,4.728811881188119,1.9676260605797815,0,1.52,23,52.93,9,21.0,tr
Arabic,50,44,90.32,8,18.6,13,26.24,2,4.800848486054228,4.8598715939140185,4.842857142857143,1.4371622837578866,0,0.0,0,0.0,0,0.0,ar
Hebrew,50,45,92.28,8,20.61,9,18.72,2,4.662807986270147,4.683019584441823,4.65195,1.3834755324396673,0,0.0,0,0.0,0,0.0,he
Hausa,70,52,76.31,10,17.73,23,32.76,2,4.462785422030708,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,ha
Hindi,69,52,79.28,8,14.11,31,44.34,1,4.1415796646648895,5.513051400454964,5.689514563106796,1.6606799881257845,0,0.0,0,0.0,0,0.0,hi
Urdu,76,54,75.47,8,13.66,21,27.97,2,3.5286787083670794,5.78556044631218,5.907249999999998,1.4493792526219136,0,0.0,0,0.0,0,0.0,ur
Farsi,55,42,79.54,9,17.96,28,49.46,1,3.8616516069659896,5.513566666844185,5.49275,1.5383198198336956,1,3.07,14,27.95,6,11.99,fa
Mandarin,60,47,80.92,10,18.91,29,46.8,2,1.7932975280279333,5.3689799720234,5.391584158415842,1.3071679279033455,2,4.21,18,32.61,12,20.12,zh
Cantonese,58,47,84.18,11,20.63,14,23.52,1,1.8545511377060686,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,yu
Kalaallisut,31,29,95.02,7,25.82,0,0.0,2,12.35799913619046,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,kl
